age_class,Total,var,date
0-17,0,death_cumul,2020-03-23
18-44,1,death_cumul,2020-03-23
45-64,23,death_cumul,2020-03-23
65-74,20,death_cumul,2020-03-23
75+,55,death_cumul,2020-03-23
0-17,0,death_cumul,2020-03-24
18-44,3,death_cumul,2020-03-24
45-64,31,death_cumul,2020-03-24
65-74,23,death_cumul,2020-03-24
75+,68,death_cumul,2020-03-24
0-17,0,death_cumul,2020-03-25
18-44,5,death_cumul,2020-03-25
45-64,43,death_cumul,2020-03-25
65-74,44,death_cumul,2020-03-25
75+,100,death_cumul,2020-03-25
0-17,0,death_cumul,2020-03-26
18-44,15,death_cumul,2020-03-26
45-64,57,death_cumul,2020-03-26
65-74,70,death_cumul,2020-03-26
75+,138,death_cumul,2020-03-26
0-17,0,death_cumul,2020-03-27
18-44,16,death_cumul,2020-03-27
45-64,77,death_cumul,2020-03-27
65-74,91,death_cumul,2020-03-27
75+,181,death_cumul,2020-03-27
0-17,0,death_cumul,2020-03-28
18-44,20,death_cumul,2020-03-28
45-64,104,death_cumul,2020-03-28
65-74,110,death_cumul,2020-03-28
75+,216,death_cumul,2020-03-28
0-17,0,death_cumul,2020-03-29
18-44,32,death_cumul,2020-03-29
45-64,161,death_cumul,2020-03-29
65-74,158,death_cumul,2020-03-29
75+,321,death_cumul,2020-03-29
0-17,1,death_cumul,2020-03-30
18-44,39,death_cumul,2020-03-30
45-64,185,death_cumul,2020-03-30
65-74,183,death_cumul,2020-03-30
75+,368,death_cumul,2020-03-30
0-17,1,death_cumul,2020-03-31
18-44,54,death_cumul,2020-03-31
45-64,216,death_cumul,2020-03-31
65-74,215,death_cumul,2020-03-31
75+,428,death_cumul,2020-03-31
0-17,1,death_cumul,2020-04-01
18-44,67,death_cumul,2020-04-01
45-64,259,death_cumul,2020-04-01
65-74,255,death_cumul,2020-04-01
75+,514,death_cumul,2020-04-01
0-17,1,death_cumul,2020-04-02
18-44,78,death_cumul,2020-04-02
45-64,333,death_cumul,2020-04-02
65-74,334,death_cumul,2020-04-02
75+,628,death_cumul,2020-04-02
0-17,1,death_cumul,2020-04-03
18-44,90,death_cumul,2020-04-03
45-64,382,death_cumul,2020-04-03
65-74,376,death_cumul,2020-04-03
75+,713,death_cumul,2020-04-03
0-17,1,death_cumul,2020-04-04
18-44,110,death_cumul,2020-04-04
45-64,442,death_cumul,2020-04-04
65-74,461,death_cumul,2020-04-04
75+,853,death_cumul,2020-04-04
0-17,2,death_cumul,2020-04-05
18-44,132,death_cumul,2020-04-05
45-64,535,death_cumul,2020-04-05
65-74,557,death_cumul,2020-04-05
75+,1028,death_cumul,2020-04-05
0-17,2,death_cumul,2020-04-06
18-44,140,death_cumul,2020-04-06
