age_class,Total,var,date
"[-Inf, 18)",0,death_cumul,2020-03-23
"[18, 45)",1,death_cumul,2020-03-23
"[45, 65)",23,death_cumul,2020-03-23
"[65, 75)",20,death_cumul,2020-03-23
"[75, Inf)",55,death_cumul,2020-03-23
"[-Inf, 18)",0,death_cumul,2020-03-24
"[18, 45)",3,death_cumul,2020-03-24
"[45, 65)",31,death_cumul,2020-03-24
"[65, 75)",23,death_cumul,2020-03-24
"[75, Inf)",68,death_cumul,2020-03-24
"[-Inf, 18)",0,death_cumul,2020-03-25
"[18, 45)",5,death_cumul,2020-03-25
"[45, 65)",43,death_cumul,2020-03-25
"[65, 75)",44,death_cumul,2020-03-25
"[75, Inf)",100,death_cumul,2020-03-25
"[-Inf, 18)",0,death_cumul,2020-03-26
"[18, 45)",15,death_cumul,2020-03-26
"[45, 65)",57,death_cumul,2020-03-26
"[65, 75)",70,death_cumul,2020-03-26
"[75, Inf)",138,death_cumul,2020-03-26
"[-Inf, 18)",0,death_cumul,2020-03-27
"[18, 45)",16,death_cumul,2020-03-27
"[45, 65)",77,death_cumul,2020-03-27
"[65, 75)",91,death_cumul,2020-03-27
"[75, Inf)",181,death_cumul,2020-03-27
"[-Inf, 18)",0,death_cumul,2020-03-28
"[18, 45)",20,death_cumul,2020-03-28
"[45, 65)",104,death_cumul,2020-03-28
"[65, 75)",110,death_cumul,2020-03-28
"[75, Inf)",216,death_cumul,2020-03-28
"[-Inf, 18)",0,death_cumul,2020-03-29
"[18, 45)",32,death_cumul,2020-03-29
"[45, 65)",161,death_cumul,2020-03-29
"[65, 75)",158,death_cumul,2020-03-29
"[75, Inf)",321,death_cumul,2020-03-29
"[-Inf, 18)",1,death_cumul,2020-03-30
"[18, 45)",39,death_cumul,2020-03-30
"[45, 65)",185,death_cumul,2020-03-30
"[65, 75)",183,death_cumul,2020-03-30
"[75, Inf)",368,death_cumul,2020-03-30
"[-Inf, 18)",1,death_cumul,2020-03-31
"[18, 45)",54,death_cumul,2020-03-31
"[45, 65)",216,death_cumul,2020-03-31
"[65, 75)",215,death_cumul,2020-03-31
"[75, Inf)",428,death_cumul,2020-03-31
"[-Inf, 18)",1,death_cumul,2020-04-01
"[18, 45)",67,death_cumul,2020-04-01
"[45, 65)",259,death_cumul,2020-04-01
"[65, 75)",255,death_cumul,2020-04-01
"[75, Inf)",514,death_cumul,2020-04-01
"[-Inf, 18)",1,death_cumul,2020-04-02
"[18, 45)",78,death_cumul,2020-04-02
"[45, 65)",333,death_cumul,2020-04-02
"[65, 75)",334,death_cumul,2020-04-02
"[75, Inf)",628,death_cumul,2020-04-02
"[-Inf, 18)",1,death_cumul,2020-04-03
"[18, 45)",90,death_cumul,2020-04-03
"[45, 65)",382,death_cumul,2020-04-03
"[65, 75)",376,death_cumul,2020-04-03
"[75, Inf)",713,death_cumul,2020-04-03
"[-Inf, 18)",1,death_cumul,2020-04-04
"[18, 45)",110,death_cumul,2020-04-04
