age_class,age_midpoint,NYC_Total,Manhattan,Bronx,Brooklyn,Queens,Staten_Island
"[-Inf, 5)",3,551853,79907,105924,193360,146232,27329
"[5, 10)",7,474248,63260,100039,156277,127363,28288
"[10, 15)",12,482871,61595,100039,164224,127363,30685
"[15, 20)",17,457003,69919,100039,143034,120288,27809
"[20, 25)",22,577721,116531,113279,169521,143874,31165
"[25, 30)",27,810534,196438,127991,254282,200479,34521
"[30, 35)",32,741552,179791,108866,235741,186328,29726
"[35, 40)",37,629457,136508,94154,198658,174535,27809
"[40, 45)",42,551853,101548,91212,169521,150949,33562
"[45, 50)",47,551853,104878,92683,158926,160384,33083
"[50, 55)",52,551853,101548,95625,156277,162742,34521
"[55, 60)",57,517362,98219,83856,145682,158025,31644
"[60, 65)",62,491494,89895,76500,145682,146232,34042
"[65, 70)",67,396644,78242,57375,121843,115571,26850
"[70, 75)",72,293172,68254,45606,79463,84909,18699
"[75, 80)",77,224190,46612,33837,63571,63682,13904
"[80, 85)",82,155209,33295,20596,47678,42454,7671
"[85, Inf)",87,172454,38289,26481,45029,49530,9110
