DATE_OF_INTEREST,Cases,7-day average,INCOMPLETE,BASELINE
2020-03-01,0,0,null,0
2020-03-02,0,0,null,0
2020-03-03,0,0,null,0
2020-03-04,0,0,null,0
2020-03-05,0,0,null,0
2020-03-06,8,3,null,0
2020-03-07,7,4,null,0
2020-03-08,21,7,null,0
2020-03-09,58,15,null,0
2020-03-10,70,25,null,0
2020-03-11,155,46,null,0
2020-03-12,357,97,null,0
2020-03-13,620,184,null,0
2020-03-14,643,275,null,0
2020-03-15,1037,420,null,0
2020-03-16,2122,715,null,0
2020-03-17,2453,1055,null,0
2020-03-18,2974,1458,null,0
2020-03-19,3707,1937,null,0
2020-03-20,4008,2421,null,0
2020-03-21,2638,2706,null,0
2020-03-22,2580,2926,null,0
2020-03-23,3572,3133,null,0
2020-03-24,4508,3427,null,0
2020-03-25,4873,3698,null,0
2020-03-26,5052,3890,null,0
2020-03-27,5124,4050,null,0
2020-03-28,3476,4169,null,0
2020-03-29,3561,4309,null,0
2020-03-30,6134,4675,null,0
2020-03-31,5469,4813,null,0
2020-04-01,5459,4896,null,0
2020-04-02,5763,4998,null,0
2020-04-03,5676,5077,null,0
2020-04-04,3867,5133,null,0
2020-04-05,3793,5166,null,0
2020-04-06,6376,5200,null,0
2020-04-07,6062,5285,null,0
2020-04-08,5586,5303,null,0
2020-04-09,5072,5205,null,0
2020-04-10,4517,5039,null,0
2020-04-11,3732,5020,null,0
2020-04-12,2890,4891,null,0
2020-04-13,3313,4453,null,0
2020-04-14,4147,4180,null,0
2020-04-15,3878,3936,null,0
2020-04-16,3530,3715,null,0
2020-04-17,3584,3582,null,0
2020-04-18,2173,3359,null,0
2020-04-19,2346,3282,null,0
2020-04-20,3793,3350,null,0
2020-04-21,3065,3196,null,0
2020-04-22,3462,3136,null,0
2020-04-23,2843,3038,null,0
2020-04-24,2539,2889,null,0
2020-04-25,1595,2806,null,0
2020-04-26,1003,2614,null,0
2020-04-27,2298,2401,null,0
2020-04-28,2730,2353,null,0
2020-04-29,2342,2193,null,0
2020-04-30,2024,2076,null,0
2020-05-01,1889,1983,null,0
2020-05-02,1060,1907,null,0
2020-05-03,785,1875,null,0
2020-05-04,1551,1769,null,0
2020-05-05,1513,1595,null,0
2020-05-06,1402,1461,null,0
2020-05-07,1235,1348,null,0
2020-05-08,1081,1232,null,0
2020-05-09,657,1175,null,0
2020-05-10,458,1128,null,0
2020-05-11,1233,1083,null,0
2020-05-12,1285,1050,null,0
2020-05-13,1336,1041,null,0
2020-05-14,1112,1023,null,0
2020-05-15,875,994,null,0
2020-05-16,488,970,null,0
2020-05-17,359,955,null,0
2020-05-18,900,908,null,0
2020-05-19,1004,868,null,0
2020-05-20,1081,831,null,0
2020-05-21,1072,826,null,0
2020-05-22,1058,852,null,0
2020-05-23,463,848,null,0
2020-05-24,479,865,null,0
2020-05-25,469,804,null,0
2020-05-26,1055,811,null,0
2020-05-27,745,763,null,0
2020-05-28,646,702,null,0
2020-05-29,647,643,null,0
2020-05-30,348,627,null,0
2020-05-31,231,592,null,0
2020-06-01,687,623,null,0
2020-06-02,574,554,null,0
2020-06-03,515,521,null,0
2020-06-04,526,504,null,0
2020-06-05,404,469,null,0
2020-06-06,247,455,null,0
2020-06-07,199,450,null,0
2020-06-08,451,417,null,0
2020-06-09,421,395,null,0
2020-06-10,365,373,null,0
2020-06-11,368,351,null,0
2020-06-12,410,352,null,0
2020-06-13,196,344,null,0
2020-06-14,183,342,null,0
2020-06-15,379,332,null,0
