DATE_OF_DEATH,Confirmed,Probable,INCOMPLETE,baseline,Combined
2020-03-14,2,1,null,0,3
2020-03-15,5,0,null,0,5
2020-03-16,8,1,null,0,9
2020-03-17,8,3,null,0,11
2020-03-18,21,4,null,0,25
2020-03-19,24,2,null,0,26
2020-03-20,47,3,null,0,50
2020-03-21,44,6,null,0,50
2020-03-22,50,3,null,0,53
2020-03-23,82,13,null,0,95
2020-03-24,95,12,null,0,107
2020-03-25,123,19,null,0,142
2020-03-26,190,41,null,0,231
2020-03-27,218,40,null,0,258
2020-03-28,274,51,null,0,325
2020-03-29,292,63,null,0,355
2020-03-30,325,85,null,0,410
2020-03-31,385,84,null,0,469
2020-04-01,447,101,null,0,548
2020-04-02,498,165,null,0,663
2020-04-03,499,167,null,0,666
2020-04-04,511,186,null,0,697
2020-04-05,580,174,null,0,754
2020-04-06,575,224,null,0,799
2020-04-07,597,215,null,0,812
2020-04-08,569,199,null,0,768
2020-04-09,560,191,null,0,751
2020-04-10,540,178,null,0,718
2020-04-11,543,170,null,0,713
2020-04-12,572,175,null,0,747
2020-04-13,571,184,null,0,755
2020-04-14,510,141,null,0,651
2020-04-15,455,105,null,0,560
2020-04-16,414,137,null,0,551
2020-04-17,385,93,null,0,478
2020-04-18,390,114,null,0,504
2020-04-19,400,88,null,0,488
2020-04-20,364,94,null,0,458
2020-04-21,324,92,null,0,416
2020-04-22,313,80,null,0,393
2020-04-23,332,79,null,0,411
2020-04-24,316,57,null,0,373
2020-04-25,266,52,null,0,318
2020-04-26,246,53,null,0,299
2020-04-27,271,46,null,0,317
2020-04-28,228,30,null,0,258
2020-04-29,240,35,null,0,275
2020-04-30,224,29,null,0,253
2020-05-01,210,37,null,0,247
2020-05-02,192,31,null,0,223
2020-05-03,178,28,null,0,206
2020-05-04,159,35,null,0,194
2020-05-05,151,16,null,0,167
2020-05-06,150,28,null,0,178
2020-05-07,141,17,null,0,158
2020-05-08,131,22,null,0,153
2020-05-09,100,9,null,0,109
2020-05-10,103,12,null,0,115
2020-05-11,103,14,null,0,117
2020-05-12,91,12,null,0,103
2020-05-13,83,8,null,0,91
2020-05-14,70,17,null,0,87
2020-05-15,86,12,null,0,98
2020-05-16,83,18,null,0,101
2020-05-17,77,10,null,0,87
2020-05-18,58,8,null,0,66
2020-05-19,54,9,null,0,63
2020-05-20,81,5,null,0,86
2020-05-21,45,7,null,0,52
2020-05-22,65,12,null,0,77
2020-05-23,60,3,null,0,63
2020-05-24,49,4,null,0,53
2020-05-25,49,5,null,0,54
2020-05-26,37,5,null,0,42
2020-05-27,49,3,null,0,52
2020-05-28,38,4,null,0,42
2020-05-29,43,8,null,0,51
2020-05-30,54,4,null,0,58
2020-05-31,39,4,null,0,43
2020-06-01,34,5,null,0,39
2020-06-02,38,6,null,0,44
2020-06-03,43,3,null,0,46
2020-06-04,33,5,null,0,38
2020-06-05,28,3,null,0,31
2020-06-06,35,2,null,0,37
2020-06-07,25,4,null,0,29
2020-06-08,41,6,null,0,47
2020-06-09,33,3,null,0,36
2020-06-10,32,6,null,0,38
2020-06-11,21,5,null,0,26
2020-06-12,23,3,null,0,26
2020-06-13,14,2,null,0,16
2020-06-14,24,0,null,0,24
2020-06-15,20,0,null,0,20
