age_class,age_midpoint,N_IA,IA,LowerCI,UpperCI,MeanLN,SDLN
"[0, 5)",3,408,3.25122549,1.7,6.8,0.033,1.45
"[5, 10)",7,1182,3.6,2.3,5.7,0.035,1.28
"[10, 15)",12,2283,4.1,3.1,5.5,0.0407,1.16
"[15, 18)",16,1592.4,3.8,2.8,5,0.0375,1.16
"[18, 20)",19,1061.6,3.8,2.8,5,,
"[20, 25)",22,2479,5.5,4.3,7,,
"[25, 30)",27,2329,5.4,4.1,7.1,,
"[30, 35)",32,2761,4.3,3.3,5.4,,
"[35, 40)",37,3684,4.8,3.9,6,,
"[40, 45)",42,4736,4.7,3.9,5.7,,
"[45, 50)",47,4934,5.1,4.2,6.2,,
"[50, 55)",52,4824,4.9,4,5.9,,
"[55, 60)",57,4828,4.9,4.1,5.9,,
"[60, 65)",62,4254,4.1,3.3,5.2,,
"[65, 70)",67,3310,4.9,3.8,6.3,,
"[70, 75)",72,2736,4.6,3.5,5.9,,
"[75, 80)",77,2006,4.2,3,5.9,,
"[80, 85)",82,1298,5,3.4,7.4,,
"[85, Inf)",90,1252,3.2,1.8,5.9,,
